Class,Train,Validation,Test,Expanded Test
0,17856.0,1533.0,4013.0,37400.0
1,29546.0,7209.0,21435.0,7900.0
2,22858.0,7949.0,16074.0,8200.0
3,38534.0,9803.0,18933.0,2900.0
4,31848.0,7223.0,19231.0,1400.0
5,19839.0,4502.0,10772.0,1800.0
6,25455.0,7097.0,19792.0,4700.0
7,2406.0,1223.0,1536.0,5323.0
8,16952.0,4502.0,12852.0,1900.0
9,27267.0,7739.0,17250.0,10200.0
10,13530.0,5945.0,8642.0,300.0
11,10179.0,1701.0,8676.0,300.0
12,21864.0,6288.0,13205.0,900.0
13,12248.0,1685.0,4951.0,300.0
14,10994.0,5400.0,7524.0,400.0
